person,model
http://xmlns.com/foaf/0.1/person_881,Pontiac
http://xmlns.com/foaf/0.1/person_881,Nissan
http://example.org/person_469,Mitsubishi
http://xmlns.com/foaf/0.1/person_244,Chevrolet
http://xmlns.com/foaf/0.1/person_244,Mazda
http://example.org/person_974,Audi
http://example.org/person_567,Lexus
http://example.org/person_567,Buick
http://xmlns.com/foaf/0.1/person_431,Maybach
http://xmlns.com/foaf/0.1/person_431,Mazda
http://example.org/person_594,Chrysler
http://xmlns.com/foaf/0.1/person_39,Chevrolet
http://xmlns.com/foaf/0.1/person_39,BMW
http://xmlns.com/foaf/0.1/person_287,Mitsubishi
http://xmlns.com/foaf/0.1/person_287,Mitsubishi
http://example.org/person_542,Land Rover
http://example.org/person_542,Land Rover
http://xmlns.com/foaf/0.1/person_644,Toyota
http://xmlns.com/foaf/0.1/person_476,Kia
http://xmlns.com/foaf/0.1/person_476,Audi
http://example.org/person_601,Ford
http://xmlns.com/foaf/0.1/person_925,Porsche
http://xmlns.com/foaf/0.1/person_925,Mazda
http://xmlns.com/foaf/0.1/person_13,Volkswagen
http://xmlns.com/foaf/0.1/person_13,Chevrolet
http://xmlns.com/foaf/0.1/person_112,Buick
http://xmlns.com/foaf/0.1/person_112,Honda
http://xmlns.com/foaf/0.1/person_216,Subaru
http://example.org/person_49,Ford
http://example.org/person_49,Mazda
http://example.org/person_37,Nissan
http://example.org/person_37,Dodge
http://xmlns.com/foaf/0.1/person_129,Isuzu
http://xmlns.com/foaf/0.1/person_816,Hyundai
http://xmlns.com/foaf/0.1/person_816,Kia
http://example.org/person_64,Pontiac
http://example.org/person_64,Panoz
http://example.org/person_482,Chrysler
http://example.org/person_175,Audi
http://xmlns.com/foaf/0.1/person_567,Lexus
http://xmlns.com/foaf/0.1/person_567,Buick
http://xmlns.com/foaf/0.1/person_458,Toyota
http://xmlns.com/foaf/0.1/person_458,Dodge
http://xmlns.com/foaf/0.1/person_340,GMC
http://xmlns.com/foaf/0.1/person_340,Kia
http://example.org/person_126,Chevrolet
http://xmlns.com/foaf/0.1/person_691,Chevrolet
http://example.org/person_959,Maserati
http://example.org/person_959,Mercury
http://xmlns.com/foaf/0.1/person_489,Ford
http://xmlns.com/foaf/0.1/person_489,Lincoln
http://example.org/person_309,Buick
http://example.org/person_309,Volkswagen
http://example.org/person_419,Subaru
http://example.org/person_419,Mitsubishi
http://xmlns.com/foaf/0.1/person_165,Volkswagen
http://xmlns.com/foaf/0.1/person_165,Mitsubishi
http://example.org/person_668,Isuzu
http://xmlns.com/foaf/0.1/person_435,Ford
http://xmlns.com/foaf/0.1/person_334,Chevrolet
http://xmlns.com/foaf/0.1/person_334,Dodge
http://xmlns.com/foaf/0.1/person_726,Volvo
http://example.org/person_790,Chevrolet
http://example.org/person_285,Mitsubishi
http://example.org/person_680,Hyundai
http://example.org/person_383,Pontiac
http://xmlns.com/foaf/0.1/person_51,Lincoln
http://example.org/person_616,Mercedes-Benz
http://xmlns.com/foaf/0.1/person_547,Ford
http://xmlns.com/foaf/0.1/person_547,Nissan
http://example.org/person_957,Acura
http://xmlns.com/foaf/0.1/person_700,Mazda
http://xmlns.com/foaf/0.1/person_700,Mazda
http://example.org/person_631,Mazda
http://example.org/person_631,Plymouth
http://example.org/person_972,Lincoln
http://example.org/person_224,GMC
http://example.org/person_577,Jeep
http://example.org/person_577,Nissan
http://xmlns.com/foaf/0.1/person_781,Volkswagen
http://xmlns.com/foaf/0.1/person_781,Subaru
http://xmlns.com/foaf/0.1/person_306,Hyundai
http://xmlns.com/foaf/0.1/person_306,Mitsubishi
http://xmlns.com/foaf/0.1/person_33,Chrysler
http://xmlns.com/foaf/0.1/person_672,Lincoln
http://xmlns.com/foaf/0.1/person_672,Dodge
http://xmlns.com/foaf/0.1/person_491,Chrysler
http://xmlns.com/foaf/0.1/person_491,BMW
http://xmlns.com/foaf/0.1/person_762,Subaru
http://xmlns.com/foaf/0.1/person_762,Toyota
http://xmlns.com/foaf/0.1/person_779,Land Rover
http://xmlns.com/foaf/0.1/person_779,Chrysler
http://xmlns.com/foaf/0.1/person_415,Dodge
http://xmlns.com/foaf/0.1/person_595,Dodge
http://xmlns.com/foaf/0.1/person_968,Chrysler
http://xmlns.com/foaf/0.1/person_968,Chevrolet
http://xmlns.com/foaf/0.1/person_619,Chevrolet
http://xmlns.com/foaf/0.1/person_619,Chrysler
http://xmlns.com/foaf/0.1/person_749,Dodge
http://xmlns.com/foaf/0.1/person_749,Chrysler
http://xmlns.com/foaf/0.1/person_221,Chevrolet
http://xmlns.com/foaf/0.1/person_221,Audi
http://xmlns.com/foaf/0.1/person_817,Porsche
http://xmlns.com/foaf/0.1/person_817,Chevrolet
http://example.org/person_695,Infiniti
http://example.org/person_775,Hyundai
http://example.org/person_775,Chevrolet
http://xmlns.com/foaf/0.1/person_572,Mazda
http://example.org/person_398,Dodge
http://xmlns.com/foaf/0.1/person_312,Toyota
http://xmlns.com/foaf/0.1/person_312,Suzuki
http://xmlns.com/foaf/0.1/person_463,Cadillac
http://example.org/person_839,Jeep
http://example.org/person_878,BMW
http://xmlns.com/foaf/0.1/person_617,BMW
http://example.org/person_459,Buick
http://xmlns.com/foaf/0.1/person_785,Mitsubishi
http://xmlns.com/foaf/0.1/person_709,GMC
http://xmlns.com/foaf/0.1/person_676,Buick
http://xmlns.com/foaf/0.1/person_676,Bentley
http://xmlns.com/foaf/0.1/person_974,Audi
http://example.org/person_704,Chevrolet
http://example.org/person_704,Chevrolet
http://example.org/person_802,Dodge
http://example.org/person_517,BMW
http://example.org/person_517,Lexus
http://example.org/person_324,Chevrolet
http://example.org/person_324,Nissan
http://xmlns.com/foaf/0.1/person_828,Lincoln
http://xmlns.com/foaf/0.1/person_828,Kia
http://example.org/person_766,Nissan
http://example.org/person_766,Mercedes-Benz
http://xmlns.com/foaf/0.1/person_27,Pontiac
http://xmlns.com/foaf/0.1/person_27,Mazda
http://example.org/person_422,Audi
http://example.org/person_422,Kia
http://example.org/person_532,Buick
http://example.org/person_864,Suzuki
http://example.org/person_864,Buick
http://example.org/person_359,Mazda
http://example.org/person_359,Subaru
http://example.org/person_683,Mazda
http://example.org/person_793,Mercedes-Benz
http://xmlns.com/foaf/0.1/person_514,Dodge
http://example.org/person_386,Land Rover
http://xmlns.com/foaf/0.1/person_653,Mitsubishi
http://xmlns.com/foaf/0.1/person_653,Lincoln
http://example.org/person_891,Ford
http://example.org/person_891,Nissan
http://xmlns.com/foaf/0.1/person_405,Hyundai
http://example.org/person_165,Volkswagen
http://example.org/person_165,Mitsubishi
http://xmlns.com/foaf/0.1/person_984,Hyundai
http://xmlns.com/foaf/0.1/person_913,Hyundai
http://xmlns.com/foaf/0.1/person_241,Hyundai
http://xmlns.com/foaf/0.1/person_241,Suzuki
http://example.org/person_322,Lotus
http://example.org/person_420,Mitsubishi
http://example.org/person_420,Cadillac
http://example.org/person_113,Dodge
http://xmlns.com/foaf/0.1/person_592,Hyundai
http://xmlns.com/foaf/0.1/person_175,Audi
http://example.org/person_101,Oldsmobile
http://example.org/person_523,Chevrolet
http://example.org/person_523,Dodge
http://xmlns.com/foaf/0.1/person_83,BMW
http://example.org/person_255,Jaguar
http://example.org/person_255,Toyota
http://example.org/person_498,Chevrolet
http://example.org/person_596,Volkswagen
http://xmlns.com/foaf/0.1/person_10,Porsche
http://xmlns.com/foaf/0.1/person_10,Nissan
http://xmlns.com/foaf/0.1/person_149,Honda
http://xmlns.com/foaf/0.1/person_926,Dodge
http://example.org/person_606,Jeep
http://xmlns.com/foaf/0.1/person_322,Lotus
http://xmlns.com/foaf/0.1/person_173,Chevrolet
http://xmlns.com/foaf/0.1/person_173,Nissan
http://xmlns.com/foaf/0.1/person_123,Audi
http://xmlns.com/foaf/0.1/person_795,Lexus
http://example.org/person_66,Pontiac
http://example.org/person_66,GMC
http://xmlns.com/foaf/0.1/person_535,Mitsubishi
http://example.org/person_623,Honda
http://xmlns.com/foaf/0.1/person_42,Volkswagen
http://xmlns.com/foaf/0.1/person_42,Ford
http://example.org/person_93,Kia
http://example.org/person_93,Honda
http://example.org/person_964,Chevrolet
http://example.org/person_964,Chevrolet
http://example.org/person_204,Acura
http://example.org/person_204,BMW
http://example.org/person_29,Buick
http://example.org/person_557,Audi
http://example.org/person_557,Subaru
http://example.org/person_243,Buick
http://example.org/person_991,Toyota
http://example.org/person_231,Honda
http://example.org/person_231,Infiniti
http://example.org/person_584,Daihatsu
http://example.org/person_805,Lincoln
http://xmlns.com/foaf/0.1/person_166,Subaru
http://xmlns.com/foaf/0.1/person_166,Honda
http://example.org/person_903,Lincoln
http://example.org/person_903,Chevrolet
http://xmlns.com/foaf/0.1/person_512,Maybach
http://xmlns.com/foaf/0.1/person_512,Porsche
http://xmlns.com/foaf/0.1/person_133,Pontiac
http://xmlns.com/foaf/0.1/person_133,Land Rover
http://xmlns.com/foaf/0.1/person_403,Dodge
http://xmlns.com/foaf/0.1/person_582,Buick
http://xmlns.com/foaf/0.1/person_582,Chrysler
http://xmlns.com/foaf/0.1/person_103,Mercedes-Benz
http://xmlns.com/foaf/0.1/person_103,Pontiac
http://xmlns.com/foaf/0.1/person_737,GMC
http://example.org/person_54,GMC
http://example.org/person_54,Mercedes-Benz
http://example.org/person_472,Chevrolet
http://xmlns.com/foaf/0.1/person_326,Chevrolet
http://xmlns.com/foaf/0.1/person_198,Audi
http://example.org/person_190,Pontiac
http://example.org/person_190,Buick
http://xmlns.com/foaf/0.1/person_799,Chrysler
http://xmlns.com/foaf/0.1/person_799,Pontiac
http://xmlns.com/foaf/0.1/person_886,Dodge
http://xmlns.com/foaf/0.1/person_886,Pontiac
http://example.org/person_104,BMW
http://example.org/person_104,Mitsubishi
http://xmlns.com/foaf/0.1/person_300,GMC
http://example.org/person_736,Jaguar
http://example.org/person_736,Audi
http://example.org/person_219,Mazda
http://example.org/person_219,Infiniti
http://example.org/person_979,Dodge
http://example.org/person_979,Dodge
http://xmlns.com/foaf/0.1/person_84,Chevrolet
http://xmlns.com/foaf/0.1/person_84,Nissan
http://xmlns.com/foaf/0.1/person_605,BMW
http://xmlns.com/foaf/0.1/person_769,Lexus
http://example.org/person_599,Lincoln
http://example.org/person_599,Dodge
http://example.org/person_658,Buick
http://xmlns.com/foaf/0.1/person_773,Dodge
http://xmlns.com/foaf/0.1/person_393,Mercedes-Benz
http://xmlns.com/foaf/0.1/person_393,Suzuki
http://xmlns.com/foaf/0.1/person_426,Audi
http://xmlns.com/foaf/0.1/person_258,Toyota
http://xmlns.com/foaf/0.1/person_258,Isuzu
http://xmlns.com/foaf/0.1/person_528,Lincoln
http://xmlns.com/foaf/0.1/person_637,Cadillac
http://xmlns.com/foaf/0.1/person_367,Panoz
http://xmlns.com/foaf/0.1/person_367,Chevrolet
http://example.org/person_621,Lexus
http://example.org/person_214,MINI
http://example.org/person_214,Chevrolet
http://xmlns.com/foaf/0.1/person_107,Audi
http://xmlns.com/foaf/0.1/person_107,Nissan
http://xmlns.com/foaf/0.1/person_641,Volvo
http://xmlns.com/foaf/0.1/person_641,Porsche
http://xmlns.com/foaf/0.1/person_540,Toyota
http://example.org/person_207,Subaru
http://example.org/person_207,Hyundai
http://example.org/person_712,Subaru
http://example.org/person_305,Mercury
http://example.org/person_415,Dodge
http://xmlns.com/foaf/0.1/person_341,Lexus
http://xmlns.com/foaf/0.1/person_341,Ford
http://example.org/person_687,Audi
http://example.org/person_797,Ford
http://example.org/person_797,Acura
http://xmlns.com/foaf/0.1/person_611,Subaru
http://xmlns.com/foaf/0.1/person_753,Volvo
http://example.org/person_895,Land Rover
http://example.org/person_488,Kia
http://example.org/person_488,Ford
http://xmlns.com/foaf/0.1/person_339,Ford
http://xmlns.com/foaf/0.1/person_339,Daihatsu
http://xmlns.com/foaf/0.1/person_829,Mitsubishi
http://xmlns.com/foaf/0.1/person_829,Pontiac
http://example.org/person_998,BMW
http://xmlns.com/foaf/0.1/person_508,Honda
http://xmlns.com/foaf/0.1/person_730,MINI
http://xmlns.com/foaf/0.1/person_879,Oldsmobile
http://xmlns.com/foaf/0.1/person_879,Hyundai
http://example.org/person_685,Honda
http://example.org/person_795,Lexus
http://xmlns.com/foaf/0.1/person_621,Lexus
http://example.org/person_429,Maserati
http://example.org/person_539,Hyundai
http://example.org/person_539,Jaguar
http://example.org/person_788,GMC
http://example.org/person_886,Dodge
http://example.org/person_886,Pontiac
http://example.org/person_613,Mazda
http://example.org/person_613,Cadillac
http://example.org/person_856,Ford
http://example.org/person_856,Cadillac
http://example.org/person_479,Lexus
http://example.org/person_479,Kia
http://xmlns.com/foaf/0.1/person_891,Ford
http://xmlns.com/foaf/0.1/person_891,Nissan
http://xmlns.com/foaf/0.1/person_544,Daihatsu
http://xmlns.com/foaf/0.1/person_995,Honda
http://xmlns.com/foaf/0.1/person_995,Toyota
http://xmlns.com/foaf/0.1/person_252,Chevrolet
http://xmlns.com/foaf/0.1/person_252,MINI
http://xmlns.com/foaf/0.1/person_820,Chrysler
http://example.org/person_187,Chevrolet
http://example.org/person_73,Hyundai
http://example.org/person_73,Panoz
http://xmlns.com/foaf/0.1/person_30,Buick
http://xmlns.com/foaf/0.1/person_259,Ford
http://xmlns.com/foaf/0.1/person_398,Dodge
http://example.org/person_344,Mitsubishi
http://example.org/person_344,Suzuki
http://xmlns.com/foaf/0.1/person_946,Lincoln
http://xmlns.com/foaf/0.1/person_361,Dodge
http://example.org/person_442,Fiat
http://example.org/person_442,Mitsubishi
http://example.org/person_135,GMC
http://example.org/person_135,Lexus
http://xmlns.com/foaf/0.1/person_226,Maserati
http://xmlns.com/foaf/0.1/person_193,Cadillac
http://xmlns.com/foaf/0.1/person_193,Toyota
http://xmlns.com/foaf/0.1/person_859,Suzuki
http://xmlns.com/foaf/0.1/person_859,Honda
http://xmlns.com/foaf/0.1/person_863,Chevrolet
http://xmlns.com/foaf/0.1/person_863,Infiniti
http://example.org/person_8,Mitsubishi
http://example.org/person_8,Nissan
http://example.org/person_150,Panoz
http://example.org/person_150,Mitsubishi
http://example.org/person_910,Nissan
http://xmlns.com/foaf/0.1/person_18,GMC
http://xmlns.com/foaf/0.1/person_117,Mazda
http://xmlns.com/foaf/0.1/person_117,Nissan
http://xmlns.com/foaf/0.1/person_120,Dodge
http://example.org/person_185,BMW
http://xmlns.com/foaf/0.1/person_284,Pontiac
http://xmlns.com/foaf/0.1/person_746,Acura
http://example.org/person_677,Lexus
http://xmlns.com/foaf/0.1/person_468,Volkswagen
http://xmlns.com/foaf/0.1/person_468,GMC
http://xmlns.com/foaf/0.1/person_833,Mitsubishi
http://xmlns.com/foaf/0.1/person_833,Honda
http://example.org/person_297,GMC
http://example.org/person_297,Volvo
http://xmlns.com/foaf/0.1/person_944,Subaru
http://example.org/person_628,Pontiac
http://example.org/person_628,BMW
http://xmlns.com/foaf/0.1/person_728,Audi
http://xmlns.com/foaf/0.1/person_728,Acura
http://xmlns.com/foaf/0.1/person_152,Chrysler
http://xmlns.com/foaf/0.1/person_152,Lincoln
http://example.org/person_969,Dodge
http://example.org/person_969,Dodge
http://xmlns.com/foaf/0.1/person_895,Land Rover
http://example.org/person_810,Chrysler
http://xmlns.com/foaf/0.1/person_442,Fiat
http://xmlns.com/foaf/0.1/person_442,Mitsubishi
http://example.org/person_6,Chevrolet
http://example.org/person_513,BMW
http://example.org/person_993,Dodge
http://xmlns.com/foaf/0.1/person_53,Chevrolet
http://xmlns.com/foaf/0.1/person_53,Chevrolet
http://example.org/person_88,Toyota
http://example.org/person_88,Bugatti
http://example.org/person_640,Chrysler
http://example.org/person_245,Chrysler
http://example.org/person_430,Porsche
http://example.org/person_540,Toyota
http://xmlns.com/foaf/0.1/person_282,Daihatsu
http://xmlns.com/foaf/0.1/person_282,Pontiac
http://example.org/person_981,Chevrolet
http://example.org/person_981,Mazda
http://example.org/person_233,Buick
http://example.org/person_233,MINI
http://example.org/person_260,Toyota
http://example.org/person_260,Lexus
http://example.org/person_986,Hyundai
http://example.org/person_986,Land Rover
http://example.org/person_579,Oldsmobile
http://example.org/person_579,Suzuki
http://xmlns.com/foaf/0.1/person_388,Volvo
http://xmlns.com/foaf/0.1/person_275,Suzuki
http://xmlns.com/foaf/0.1/person_275,BMW
http://xmlns.com/foaf/0.1/person_355,Buick
http://xmlns.com/foaf/0.1/person_355,Dodge
http://xmlns.com/foaf/0.1/person_204,BMW
http://xmlns.com/foaf/0.1/person_204,Acura
http://xmlns.com/foaf/0.1/person_242,Toyota
http://xmlns.com/foaf/0.1/person_242,Porsche
http://xmlns.com/foaf/0.1/person_804,Acura
http://example.org/person_251,Hyundai
http://example.org/person_251,Kia
http://example.org/person_494,Dodge
http://example.org/person_494,Hyundai
http://example.org/person_76,Mitsubishi
http://example.org/person_221,Chevrolet
http://example.org/person_221,Audi
http://example.org/person_592,Hyundai
http://xmlns.com/foaf/0.1/person_446,GMC
http://xmlns.com/foaf/0.1/person_446,GMC
http://xmlns.com/foaf/0.1/person_470,Lexus
http://xmlns.com/foaf/0.1/person_470,Chevrolet
http://example.org/person_12,Maserati
http://example.org/person_728,Acura
http://example.org/person_728,Audi
http://example.org/person_716,Ford
http://xmlns.com/foaf/0.1/person_477,Lexus
http://example.org/person_529,Volvo
http://xmlns.com/foaf/0.1/person_368,Pontiac
http://xmlns.com/foaf/0.1/person_368,Cadillac
http://example.org/person_778,Maybach
http://example.org/person_778,GMC
http://xmlns.com/foaf/0.1/person_577,Jeep
http://xmlns.com/foaf/0.1/person_577,Nissan
http://xmlns.com/foaf/0.1/person_714,Ford
http://xmlns.com/foaf/0.1/person_317,Chevrolet
http://example.org/person_180,Lincoln
http://example.org/person_692,Mercury
http://example.org/person_692,Kia
http://xmlns.com/foaf/0.1/person_48,Ford
http://xmlns.com/foaf/0.1/person_48,Ford
http://example.org/person_395,Dodge
http://example.org/person_395,Mazda
http://xmlns.com/foaf/0.1/person_648,Audi
http://xmlns.com/foaf/0.1/person_648,Dodge
http://xmlns.com/foaf/0.1/person_686,Chevrolet
http://xmlns.com/foaf/0.1/person_686,Mazda
http://example.org/person_643,Volvo
http://example.org/person_643,Honda
http://example.org/person_307,Ford
http://example.org/person_307,Dodge
http://example.org/person_209,Land Rover
http://xmlns.com/foaf/0.1/person_979,Dodge
http://xmlns.com/foaf/0.1/person_979,Dodge
http://example.org/person_714,Ford
http://xmlns.com/foaf/0.1/person_261,Ford
http://xmlns.com/foaf/0.1/person_261,Ford
http://example.org/person_236,Chevrolet
http://example.org/person_741,Lexus
http://example.org/person_984,Hyundai
http://example.org/person_334,Chevrolet
http://example.org/person_334,Dodge
http://xmlns.com/foaf/0.1/person_660,Lotus
http://xmlns.com/foaf/0.1/person_660,Chevrolet
http://example.org/person_125,Toyota
http://example.org/person_125,Chevrolet
http://xmlns.com/foaf/0.1/person_750,Chrysler
http://xmlns.com/foaf/0.1/person_370,Ford
http://xmlns.com/foaf/0.1/person_232,Ford
http://xmlns.com/foaf/0.1/person_232,Volvo
http://xmlns.com/foaf/0.1/person_502,Toyota
http://example.org/person_118,Pontiac
http://xmlns.com/foaf/0.1/person_658,Buick
http://xmlns.com/foaf/0.1/person_519,Maybach
http://xmlns.com/foaf/0.1/person_583,Mazda
http://xmlns.com/foaf/0.1/person_583,Isuzu
http://xmlns.com/foaf/0.1/person_956,Ford
http://xmlns.com/foaf/0.1/person_956,Mazda
http://xmlns.com/foaf/0.1/person_847,Subaru
http://xmlns.com/foaf/0.1/person_628,Pontiac
http://xmlns.com/foaf/0.1/person_628,BMW
http://example.org/person_702,Hyundai
http://example.org/person_702,Infiniti
http://xmlns.com/foaf/0.1/person_100,Toyota
http://xmlns.com/foaf/0.1/person_100,Nissan
http://example.org/person_800,Honda
http://xmlns.com/foaf/0.1/person_821,Mazda
http://example.org/person_116,Hyundai
http://xmlns.com/foaf/0.1/person_67,Chevrolet
http://xmlns.com/foaf/0.1/person_67,Pontiac
http://xmlns.com/foaf/0.1/person_451,Honda
http://example.org/person_608,Suzuki
http://xmlns.com/foaf/0.1/person_555,Dodge
http://example.org/person_189,Jaguar
http://example.org/person_189,Hyundai
http://example.org/person_949,Ford
http://xmlns.com/foaf/0.1/person_992,Maserati
http://example.org/person_635,Chevrolet
http://example.org/person_635,Mitsubishi
http://xmlns.com/foaf/0.1/person_883,Oldsmobile
http://example.org/person_976,Volkswagen
http://example.org/person_976,Jaguar
http://example.org/person_569,Kia
http://xmlns.com/foaf/0.1/person_38,Mazda
http://xmlns.com/foaf/0.1/person_664,Ford
http://xmlns.com/foaf/0.1/person_270,Dodge
http://xmlns.com/foaf/0.1/person_270,Ford
http://example.org/person_95,Jeep
http://example.org/person_95,Lexus
http://xmlns.com/foaf/0.1/person_98,Mitsubishi
http://xmlns.com/foaf/0.1/person_853,Ferrari
http://xmlns.com/foaf/0.1/person_853,Lincoln
http://example.org/person_814,Suzuki
http://example.org/person_814,MINI
http://xmlns.com/foaf/0.1/person_419,Subaru
http://xmlns.com/foaf/0.1/person_419,Mitsubishi
http://example.org/person_690,Chevrolet
http://example.org/person_912,Chevrolet
http://example.org/person_912,Mitsubishi
http://xmlns.com/foaf/0.1/person_423,Mazda
http://xmlns.com/foaf/0.1/person_423,MINI
http://example.org/person_841,Hyundai
http://example.org/person_841,Volkswagen
http://xmlns.com/foaf/0.1/person_289,Pontiac
http://xmlns.com/foaf/0.1/person_289,Ford
http://example.org/person_434,Mazda
http://example.org/person_434,Honda
http://example.org/person_544,Daihatsu
http://example.org/person_876,Jaguar
http://xmlns.com/foaf/0.1/person_15,Dodge
http://xmlns.com/foaf/0.1/person_15,Toyota
http://example.org/person_484,Mitsubishi
http://example.org/person_177,Honda
http://example.org/person_177,Chrysler
http://xmlns.com/foaf/0.1/person_972,Lincoln
http://xmlns.com/foaf/0.1/person_21,BMW
http://xmlns.com/foaf/0.1/person_21,Pontiac
http://example.org/person_432,Audi
http://example.org/person_432,Mitsubishi
http://xmlns.com/foaf/0.1/person_163,Toyota
http://example.org/person_900,Dodge
http://example.org/person_425,Ford
http://example.org/person_930,Mitsubishi
http://example.org/person_930,Nissan
http://example.org/person_535,Mitsubishi
http://xmlns.com/foaf/0.1/person_333,Dodge
http://xmlns.com/foaf/0.1/person_333,Dodge
http://example.org/person_170,Pontiac
http://example.org/person_140,Mitsubishi
http://example.org/person_106,Land Rover
http://xmlns.com/foaf/0.1/person_71,Pontiac
http://xmlns.com/foaf/0.1/person_71,Lincoln
http://example.org/person_267,Ford
http://example.org/person_267,Ford
http://example.org/person_550,Kia
http://example.org/person_550,Plymouth
http://xmlns.com/foaf/0.1/person_720,Subaru
http://xmlns.com/foaf/0.1/person_720,Buick
http://xmlns.com/foaf/0.1/person_607,Porsche
http://xmlns.com/foaf/0.1/person_607,Nissan
http://xmlns.com/foaf/0.1/person_914,Buick
http://example.org/person_682,Bugatti
http://xmlns.com/foaf/0.1/person_549,Cadillac
http://xmlns.com/foaf/0.1/person_549,Infiniti
http://example.org/person_618,Mazda
http://example.org/person_618,Ford
http://xmlns.com/foaf/0.1/person_310,Kia
http://xmlns.com/foaf/0.1/person_805,Lincoln
http://xmlns.com/foaf/0.1/person_161,Mitsubishi
http://xmlns.com/foaf/0.1/person_161,GMC
http://xmlns.com/foaf/0.1/person_201,Porsche
http://xmlns.com/foaf/0.1/person_490,Chevrolet
http://xmlns.com/foaf/0.1/person_783,Nissan
http://example.org/person_630,Chevrolet
http://example.org/person_630,Chevrolet
http://example.org/person_78,Jeep
