f1,f2,f3,f4
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_317,http://example.org/person_12
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_100,http://xmlns.com/foaf/0.1/person_674,http://example.org/person_239
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_80,http://xmlns.com/foaf/0.1/person_190,http://example.org/person_525
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_463,http://example.org/person_710
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_463,http://example.org/person_382
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_909,http://example.org/person_726
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_909,http://example.org/person_449
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_909,http://example.org/person_84
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_909,http://example.org/person_314
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_909,http://example.org/person_973
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_909,http://example.org/person_210
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_410,http://example.org/person_80
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_410,http://example.org/person_617
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_648,http://example.org/person_282
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_648,http://example.org/person_260
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_648,http://example.org/person_876
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_648,http://example.org/person_556
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_648,http://example.org/person_29
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_6,http://xmlns.com/foaf/0.1/person_648,http://example.org/person_588
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_690,http://example.org/person_329
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_690,http://example.org/person_298
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_690,http://example.org/person_585
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_690,http://example.org/person_682
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_690,http://example.org/person_933
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_218,http://example.org/person_876
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_218,http://example.org/person_327
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_218,http://example.org/person_104
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_32,http://example.org/person_669
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_284,http://example.org/person_824
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_284,http://example.org/person_248
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_513,http://example.org/person_585
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_513,http://example.org/person_641
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_513,http://example.org/person_59
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_513,http://example.org/person_523
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_513,http://example.org/person_986
http://xmlns.com/foaf/0.1/person_711,http://example.org/person_530,http://xmlns.com/foaf/0.1/person_513,http://example.org/person_490
